"question","ground_truth","reference_context_id","file_source"
"Dự án được đề cập trong cuộc họp tên là gì và mục tiêu chính của nó là gì?","Dự án tên là Project AIM, mục tiêu là tạo ra một remote control mới có tính nguyên bản, thời thượng và thân thiện với người dùng.","utt_1","final_transcriptions1.json"
"Ba giai đoạn trong phương pháp dự án được nêu là gì?","Ba giai đoạn là: Functional Design, Conceptual Design và Detailed Design.","utt_4","final_transcriptions1.json"
"Mục tiêu lợi nhuận của công ty đối với dòng remote control là bao nhiêu?","Mục tiêu lợi nhuận là 50 triệu euro.","utt_32","final_transcriptions1.json"
"Chi phí sản xuất tối đa cho mỗi sản phẩm remote control là bao nhiêu?","Chi phí sản xuất tối đa là 12,5 euro.","utt_34","final_transcriptions1.json"
"Người thiết kế giao diện người dùng (User Interface Designer) chịu trách nhiệm những công việc gì trong dự án?","User Interface Designer phụ trách thiết kế chức năng kỹ thuật, khái niệm giao diện người dùng và thiết kế giao diện người dùng.","utt_4","final_transcriptions1.json"
"Người thiết kế công nghiệp (Industrial Designer) phụ trách những nhiệm vụ gì?","Industrial Designer phụ trách thiết kế vận hành (working design), thiết kế linh kiện (component design) và một phần thiết kế ngoại hình (look and feel design).","utt_4","final_transcriptions1.json"
"Chuyên gia marketing đảm nhận những nhiệm vụ gì trong dự án?","Chuyên gia marketing phụ trách yêu cầu và đặc tả người dùng, theo dõi xu hướng (trend-watching) và đánh giá sản phẩm (product evaluation).","utt_4","final_transcriptions1.json"
"Đề xuất nào được đưa ra nhằm giải quyết vấn đề người dùng phải dùng quá nhiều remote control?","Đề xuất là tạo ra một remote control duy nhất có thể điều khiển nhiều thiết bị như TV, đầu video, đầu DVD cùng lúc.","utt_43","final_transcriptions1.json"
"Tính năng hồng ngoại (infrared) của remote control mang lại lợi ích gì theo thảo luận trong cuộc họp?","Tính năng infrared cho phép người dùng điều khiển thiết bị từ các tầng khác nhau trong nhà thông qua một thiết bị trung gian đặt trong phòng.","utt_44","final_transcriptions1.json"
"Cuộc họp kết thúc với quyết định nào về tài liệu và bước tiếp theo?","Speaker 0 thông báo sẽ đưa biên bản cuộc họp vào thư mục dự án và mọi người có thể tiếp tục làm việc trên dự án của mình.","utt_62","final_transcriptions1.json"
"Speaker 1 đặt câu hỏi gì vào khoảng thời gian 00:20:09?","Speaker 1 hỏi tại sao laptop của họ chỉ hiển thị màn hình đen.","utt_37","final_transcriptions1.json"
"Speaker 0 đề cập lỗi gì xuất hiện trên website thông tin công ty?","Trên trang thông tin công ty, có lỗi 'real remote' thay vì từ đúng cần dùng ('real reaction' được đề cập).","utt_1","final_transcriptions1.json"
"Ở khoảng thời gian 00:21:09, Speaker 1 đề cập đến vấn đề gì liên quan đến thiết bị gia đình?","Speaker 1 đề cập đến việc gia đình họ có nhiều remote control riêng biệt cho TV, đầu video và đầu DVD, và cho rằng nên gộp lại thành một remote duy nhất.","utt_41","final_transcriptions1.json"
"Speaker 1 đề xuất tính năng gì ở khoảng phút 00:23:21?","Speaker 1 đề xuất thêm màn hình hiển thị trạng thái pin (battery status display) lên remote control.","utt_58","final_transcriptions1.json"
"Ở khoảng thời gian 00:22:47, Speaker 1 nêu yêu cầu gì về độ bền của remote control?","Speaker 1 cho rằng remote control phải có khả năng chống sốc (shockproof) vì remote hay bị rơi.","utt_54","final_transcriptions1.json"
"Speaker 2 nói gì vào thời điểm 00:24:10 khi cuộc họp sắp kết thúc?","Speaker 2 nói 'Finish meeting now. Okay.' – tức là kết thúc cuộc họp.","utt_63","final_transcriptions1.json"
"Ở khoảng phút 00:19:12, Speaker 0 nhắc đến những con số quan trọng nào về sản phẩm?","Speaker 0 nhắc đến: giá bán tiêu chuẩn 25 euro, mục tiêu lợi nhuận 50 triệu euro và chi phí sản xuất tối đa 12,5 euro.","utt_34","final_transcriptions1.json"
"Speaker 1 lo ngại điều gì về tính năng hiển thị trạng thái pin mà họ vừa đề xuất?","Speaker 1 lo rằng tính năng hiển thị trạng thái pin có thể đội chi phí sản xuất lên cao.","utt_60","final_transcriptions1.json"
"Ở khoảng 00:21:23, Speaker 0 mô tả tính năng nào của remote control mà họ đang dùng ở nhà?","Speaker 0 mô tả remote control tại nhà có thể lập trình tới 8 thiết bị khác nhau và hoạt động qua infrared để điều khiển từ các tầng khác nhau.","utt_44","final_transcriptions1.json"
"Speaker 0 hướng dẫn cách cầm bút vẽ trên bảng thông minh như thế nào và lý do tại sao?","Speaker 0 hướng dẫn cầm bút như cách trẻ em cầm bút (hold it like a little child) vì nếu cầm theo cách thông thường sẽ che các cảm biến của bút.","utt_15","final_transcriptions1.json"
